EHA05.20210123T190149
Statistic,Year,Type of Employment,NACE Rev 2 Economic Sector,UNIT,VALUE
Average Total Earnings,2016,Apprentices/Trainees,Industry (B to E),Euro,19213
Average Total Earnings,2016,Apprentices/Trainees,"Financial, insurance and real estate activities (K,L)",Euro,27500
Average Total Earnings,2016,Apprentices/Trainees,"Arts, entertainment, recreation and other service activities (R,S)",Euro,14482
Average Total Earnings,2017,Full-time,Construction (F),Euro,42360
Average Total Earnings,2017,Full-time,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),Euro,40121
Average Total Earnings,2017,Full-time,Transportation and storage (H),Euro,44167
Average Total Earnings,2017,Full-time,Accommodation and food service activities (I),Euro,26247
Average Total Earnings,2017,Full-time,Information and communication (J),Euro,60338
Average Total Earnings,2017,Full-time,"Professional, scientific and technical activities (M)",Euro,53662
Average Total Earnings,2017,Full-time,Administrative and support service activities (N),Euro,35010
Average Total Earnings,2017,Full-time,Public administration and defence; compulsory social security (O),Euro,52465
Average Total Earnings,2017,Full-time,Education (P),Euro,52140
Average Total Earnings,2017,Full-time,Human health and social work activities (Q),Euro,45949
Average Total Earnings,2017,Full-time,Industry (B to E),Euro,47354
Average Total Earnings,2017,Full-time,"Financial, insurance and real estate activities (K,L)",Euro,60277
Average Total Earnings,2017,Full-time,"Arts, entertainment, recreation and other service activities (R,S)",Euro,35742
Average Total Earnings,2017,Part-time,Construction (F),Euro,15793
Average Total Earnings,2017,Part-time,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),Euro,14891
Average Total Earnings,2017,Part-time,Transportation and storage (H),Euro,20105
Average Total Earnings,2017,Part-time,Accommodation and food service activities (I),Euro,11990
Average Total Earnings,2017,Part-time,Information and communication (J),Euro,19249
Average Total Earnings,2017,Part-time,"Professional, scientific and technical activities (M)",Euro,18026
Average Total Earnings,2017,Part-time,Administrative and support service activities (N),Euro,15370
Average Total Earnings,2017,Part-time,Public administration and defence; compulsory social security (O),Euro,28679
Average Total Earnings,2017,Part-time,Education (P),Euro,18792
Average Total Earnings,2017,Part-time,Human health and social work activities (Q),Euro,22383
Average Total Earnings,2017,Part-time,Industry (B to E),Euro,21147
Average Total Earnings,2017,Part-time,"Financial, insurance and real estate activities (K,L)",Euro,23200
Average Total Earnings,2017,Part-time,"Arts, entertainment, recreation and other service activities (R,S)",Euro,13100
Average Total Earnings,2017,Apprentices/Trainees,Construction (F),Euro,22166
Average Total Earnings,2017,Apprentices/Trainees,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),Euro,16354
Average Total Earnings,2017,Apprentices/Trainees,Transportation and storage (H),Euro,20178
Average Total Earnings,2017,Apprentices/Trainees,Accommodation and food service activities (I),Euro,10645
Average Total Earnings,2017,Apprentices/Trainees,Information and communication (J),Euro,20633
Average Total Earnings,2017,Apprentices/Trainees,"Professional, scientific and technical activities (M)",Euro,29330
Average Total Earnings,2017,Apprentices/Trainees,Administrative and support service activities (N),Euro,13723
Average Total Earnings,2017,Apprentices/Trainees,Public administration and defence; compulsory social security (O),Euro,12978
Average Total Earnings,2017,Apprentices/Trainees,Education (P),Euro,9039
Average Total Earnings,2017,Apprentices/Trainees,Human health and social work activities (Q),Euro,30978
Average Total Earnings,2017,Apprentices/Trainees,Industry (B to E),Euro,19707
Average Total Earnings,2017,Apprentices/Trainees,"Financial, insurance and real estate activities (K,L)",Euro,28558
Average Total Earnings,2017,Apprentices/Trainees,"Arts, entertainment, recreation and other service activities (R,S)",Euro,15286
Average Total Earnings,2018,Full-time,Construction (F),Euro,43732
Average Total Earnings,2018,Full-time,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),Euro,41085
Average Total Earnings,2018,Full-time,Transportation and storage (H),Euro,46224
Average Total Earnings,2018,Full-time,Accommodation and food service activities (I),Euro,26385
Average Total Earnings,2018,Full-time,Information and communication (J),Euro,64729
Average Total Earnings,2018,Full-time,"Professional, scientific and technical activities (M)",Euro,54457
Average Total Earnings,2018,Full-time,Administrative and support service activities (N),Euro,36307
Average Total Earnings,2018,Full-time,Public administration and defence; compulsory social security (O),Euro,53136
Average Total Earnings,2018,Full-time,Education (P),Euro,54061
Average Total Earnings,2018,Full-time,Human health and social work activities (Q),Euro,46290
Average Total Earnings,2018,Full-time,Industry (B to E),Euro,48415
Average Total Earnings,2018,Full-time,"Financial, insurance and real estate activities (K,L)",Euro,63705
Average Total Earnings,2018,Full-time,"Arts, entertainment, recreation and other service activities (R,S)",Euro,36810
Average Total Earnings,2018,Part-time,Construction (F),Euro,16974
Average Total Earnings,2018,Part-time,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),Euro,15093
Average Total Earnings,2018,Part-time,Transportation and storage (H),Euro,20610
Average Total Earnings,2018,Part-time,Accommodation and food service activities (I),Euro,12566
Average Total Earnings,2018,Part-time,Information and communication (J),Euro,21042
Average Total Earnings,2018,Part-time,"Professional, scientific and technical activities (M)",Euro,18943
Average Total Earnings,2018,Part-time,Administrative and support service activities (N),Euro,16108
Average Total Earnings,2018,Part-time,Public administration and defence; compulsory social security (O),Euro,29545
Average Total Earnings,2018,Part-time,Education (P),Euro,19486
Average Total Earnings,2018,Part-time,Human health and social work activities (Q),Euro,23387
Average Total Earnings,2018,Part-time,Industry (B to E),Euro,22207
Average Total Earnings,2018,Part-time,"Financial, insurance and real estate activities (K,L)",Euro,24268
Average Total Earnings,2018,Part-time,"Arts, entertainment, recreation and other service activities (R,S)",Euro,13344
Average Total Earnings,2018,Apprentices/Trainees,Construction (F),Euro,23893
Average Total Earnings,2018,Apprentices/Trainees,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),Euro,16604
Average Total Earnings,2018,Apprentices/Trainees,Transportation and storage (H),Euro,19897
Average Total Earnings,2018,Apprentices/Trainees,Accommodation and food service activities (I),Euro,7651
Average Total Earnings,2018,Apprentices/Trainees,Information and communication (J),Euro,19742
Average Total Earnings,2018,Apprentices/Trainees,"Professional, scientific and technical activities (M)",Euro,29072
Average Total Earnings,2018,Apprentices/Trainees,Administrative and support service activities (N),Euro,15618
Average Total Earnings,2018,Apprentices/Trainees,Public administration and defence; compulsory social security (O),Euro,13899
Average Total Earnings,2018,Apprentices/Trainees,Education (P),Euro,7966
Average Total Earnings,2018,Apprentices/Trainees,Human health and social work activities (Q),Euro,31858
Average Total Earnings,2018,Apprentices/Trainees,Industry (B to E),Euro,20766
Average Total Earnings,2018,Apprentices/Trainees,"Financial, insurance and real estate activities (K,L)",Euro,20192
Average Total Earnings,2018,Apprentices/Trainees,"Arts, entertainment, recreation and other service activities (R,S)",Euro,15451
Average Total Earnings,2019,Full-time,Construction (F),Euro,45172
Average Total Earnings,2019,Full-time,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),Euro,42711
Average Total Earnings,2019,Full-time,Transportation and storage (H),Euro,47484
Average Total Earnings,2019,Full-time,Accommodation and food service activities (I),Euro,27092
Average Total Earnings,2019,Full-time,Information and communication (J),Euro,67559
Average Total Earnings,2019,Full-time,"Professional, scientific and technical activities (M)",Euro,55983
Average Total Earnings,2019,Full-time,Administrative and support service activities (N),Euro,37959
Average Total Earnings,2019,Full-time,Public administration and defence; compulsory social security (O),Euro,53497
Average Total Earnings,2019,Full-time,Education (P),Euro,55249
Average Total Earnings,2019,Full-time,Human health and social work activities (Q),Euro,47187
Average Total Earnings,2019,Full-time,Industry (B to E),Euro,49241
Average Total Earnings,2019,Full-time,"Financial, insurance and real estate activities (K,L)",Euro,65293
Average Total Earnings,2019,Full-time,"Arts, entertainment, recreation and other service activities (R,S)",Euro,37915
Average Total Earnings,2019,Part-time,Construction (F),Euro,18348
Average Total Earnings,2019,Part-time,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),Euro,15110
Average Total Earnings,2019,Part-time,Transportation and storage (H),Euro,20582
Average Total Earnings,2019,Part-time,Accommodation and food service activities (I),Euro,13491
Average Total Earnings,2019,Part-time,Information and communication (J),Euro,23301
Average Total Earnings,2019,Part-time,"Professional, scientific and technical activities (M)",Euro,19049
Average Total Earnings,2019,Part-time,Administrative and support service activities (N),Euro,17869
Average Total Earnings,2019,Part-time,Public administration and defence; compulsory social security (O),Euro,30423
Average Total Earnings,2019,Part-time,Education (P),Euro,19263
Average Total Earnings,2019,Part-time,Human health and social work activities (Q),Euro,24401
Average Total Earnings,2019,Part-time,Industry (B to E),Euro,21860
Average Total Earnings,2019,Part-time,"Financial, insurance and real estate activities (K,L)",Euro,25697
Average Total Earnings,2019,Part-time,"Arts, entertainment, recreation and other service activities (R,S)",Euro,13673
Average Total Earnings,2019,Apprentices/Trainees,Construction (F),Euro,23415
Average Total Earnings,2019,Apprentices/Trainees,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),Euro,18450
Average Total Earnings,2019,Apprentices/Trainees,Transportation and storage (H),Euro,21174
Average Total Earnings,2019,Apprentices/Trainees,Accommodation and food service activities (I),Euro,9846
Average Total Earnings,2019,Apprentices/Trainees,Information and communication (J),Euro,22480
Average Total Earnings,2019,Apprentices/Trainees,"Professional, scientific and technical activities (M)",Euro,28550
Average Total Earnings,2019,Apprentices/Trainees,Administrative and support service activities (N),Euro,16729
Average Total Earnings,2019,Apprentices/Trainees,Public administration and defence; compulsory social security (O),Euro,15881
Average Total Earnings,2019,Apprentices/Trainees,Education (P),Euro,8526
Average Total Earnings,2019,Apprentices/Trainees,Human health and social work activities (Q),Euro,30546
Average Total Earnings,2019,Apprentices/Trainees,Industry (B to E),Euro,20479
Average Total Earnings,2019,Apprentices/Trainees,"Financial, insurance and real estate activities (K,L)",Euro,23457
Average Total Earnings,2019,Apprentices/Trainees,"Arts, entertainment, recreation and other service activities (R,S)",Euro,16977
